,키워드,중요도,연관단어
0,날씨,3.7603456889297733,"['대기', '건조', '일교차', '따뜻', '주의', '나쁨', '초미세먼지', '수도권', '구름', '많고']"
1,대기,1.965161954282256,"['날씨', '건조', '일교차', '따뜻', '주의', '나쁨', '초미세먼지', '수도권', '구름', '많고']"
2,건조,1.9130017171983371,"['날씨', '대기', '일교차', '따뜻', '주의', '나쁨', '초미세먼지', '수도권', '구름', '많고']"
3,일교,1.4669844226243747,
4,중고차,1.3813829188318287,"['기아', '전기차', '사업', '인증', '시장', '구독', '진출', '한달', '공개', '산다']"
5,따뜻,1.2226656250331964,"['질환', '맑고', '아침', '치료', '위험', '만큼', '자외선', '한낮', '경고', '광주']"
6,건강,0.6975938715727316,"['전국', '클릭', '미세먼지', '주의', '건조해', '월요일', '건조한', '따뜻', '20', '유의']"
7,현대,0.6480680506444293,"['걸작전', '미술', '간송미술관', '7년', '버스', '일렉시티', '지선', '출격', '타운', '열풍']"
