,키워드,중요도,연관단어
0,삼성,1.9481752207757332,"['애플', '스마트', '구글', '워치', 'tv', '손목', '출신', '전문가', '영입', '시장']"
1,LG,1.5708617486449414,
2,업계,1.54939847385767,"['웹젠', '파업', '노조', '게임', '네이버', '최인혁', '대표', '사퇴', '2일', '최초']"
3,네이버,1.475633943382622,"['최인혁', '사퇴', '대표', '해피빈', '난다', '부사장', '떠나', '회사', '괴롭힘', '재단']"
4,5G,1.4149469794374285,
5,웹젠,1.2816047589515853,"['파업', '노조', '업계', '게임', '네이버', '최인혁', '대표', '사퇴', '2일', '최초']"
6,노조,1.125874219833379,"['웹젠', '파업', '업계', '게임', '네이버', '최인혁', '대표', '사퇴', '2일', '최초']"
7,시장,0.9962109669091708,"['해외', '배달', '교통', '여행', '완화', '대기업', '투자', '거리두기', '워치', '알뜰폰']"
8,이유,0.9760043623541158,"['먹통인가', '안에', '했더니', '터지는', '실내', '비중', '5g', '왔다', '오면', '잡히는']"
9,투자,0.8087332984341215,"['ott', '적자', '토종', '500', '작년', '해외', '목소리', '콘텐츠', '진출', '세액공제']"
10,파업,0.7782251954424714,"['웹젠', '노조', '업계', '게임', '네이버', '최인혁', '대표', '사퇴', '2일', '최초']"
